datetime,lat,lon,precipitation,tmax,tmin,temperature
2009-06-01,47.94186,-71.382225,0.0,16.0,-1.2,7.4
2009-06-02,47.94186,-71.382225,0.0,16.2,3.7,9.95
2009-06-03,47.94186,-71.382225,1.4,15.7,0.2,7.949999999999999
2009-06-04,47.94186,-71.382225,0.0,16.2,0.6,8.4
2009-06-05,47.94186,-71.382225,0.0,21.5,0.4,10.95
2009-06-06,47.94186,-71.382225,0.0,19.8,1.9,10.85
2009-06-07,47.94186,-71.382225,0.4,15.1,0.2,7.6499999999999995
2009-06-08,47.94186,-71.382225,0.0,15.5,3.3,9.4
2009-06-09,47.94186,-71.382225,4.2,15.0,-1.9,6.55
2009-06-10,47.94186,-71.382225,0.0,12.8,6.9,9.850000000000001
2009-06-11,47.94186,-71.382225,6.2,17.3,8.5,12.9
2009-06-12,47.94186,-71.382225,0.0,20.7,8.4,14.55
2009-06-13,47.94186,-71.382225,0.0,22.6,3.6,13.100000000000001
2009-06-14,47.94186,-71.382225,0.0,24.5,2.3,13.4
2009-06-15,47.94186,-71.382225,1.2,23.1,8.6,15.850000000000001
2009-06-16,47.94186,-71.382225,0.0,24.2,4.5,14.35
2009-06-17,47.94186,-71.382225,0.0,25.8,7.1,16.45
2009-06-18,47.94186,-71.382225,0.0,26.1,8.2,17.15
2009-06-19,47.94186,-71.382225,1.6,24.6,9.8,17.200000000000003
2009-06-20,47.94186,-71.382225,0.0,23.2,8.1,15.649999999999999
2009-06-21,47.94186,-71.382225,0.0,20.0,13.5,16.75
2009-06-22,47.94186,-71.382225,0.0,25.6,6.2,15.9
2009-06-23,47.94186,-71.382225,0.0,28.4,3.4,15.899999999999999
2009-06-24,47.94186,-71.382225,0.0,30.2,6.3,18.25
2009-06-25,47.94186,-71.382225,47.7,28.6,14.8,21.700000000000003
2009-06-26,47.94186,-71.382225,2.2,26.2,11.6,18.9
2009-06-27,47.94186,-71.382225,3.0,21.1,14.5,17.8
2009-06-28,47.94186,-71.382225,5.2,22.9,9.7,16.299999999999997
2009-06-29,47.94186,-71.382225,2.8,21.5,15.0,18.25
2009-06-30,47.94186,-71.382225,0.0,24.1,14.6,19.35
2009-07-01,47.94186,-71.382225,0.0,24.6,13.6,19.1
2009-07-02,47.94186,-71.382225,6.4,23.7,14.8,19.25
2009-07-03,47.94186,-71.382225,6.4,20.0,13.6,16.8
2009-07-04,47.94186,-71.382225,16.4,22.4,12.9,17.65
