Date,P,E0,Qo,T
1975-03-01,7.67,0.10192640119866982,0.63,-3.75
1975-03-02,2.26,0.0,0.58,-5.7
1975-03-03,13.69,0.0,0.54,-7.2
1975-03-04,0.0,0.0,0.49,-10.56
1975-03-05,0.0,0.0,0.47,-11.39
1975-03-06,2.59,0.0,0.46,-7.3
1975-03-07,7.18,0.39291242494106643,0.46,-0.55
1975-03-08,3.36,0.0,0.48,-6.01
1975-03-09,0.25,0.0,0.49,-16.16
1975-03-10,0.56,0.0,0.49,-10.15
1975-03-11,0.04,0.0,0.47,-6.4
1975-03-12,4.18,0.06827926406895707,0.47,-4.27
1975-03-13,2.08,0.38073442131263147,0.53,-0.99
1975-03-14,9.23,0.0,0.63,-8.2
1975-03-15,1.47,0.0,0.61,-5.09
1975-03-16,0.0,0.08137101903947429,0.57,-4.17
1975-03-17,0.0,0.27419504491245195,0.56,-2.24
1975-03-18,0.0,0.5834296805224541,0.58,0.79
1975-03-19,1.61,1.0117125902017277,2.99,4.89
1975-03-20,9.22,1.0689434621635285,8.38,5.33
1975-03-21,0.03,0.0,6.2,-7.85
1975-03-22,9.35,0.3182455319601043,5.14,-1.97
1975-03-23,1.77,0.266336285856839,5.03,-2.49
1975-03-24,2.78,0.458669168279553,4.24,-0.73
1975-03-25,7.28,1.0924534208151768,4.18,5.01
1975-03-26,2.73,0.0,6.01,-6.0
1975-03-27,0.0,0.0,4.58,-15.46
1975-03-28,0.0,0.0,3.68,-9.28
1975-03-29,4.19,0.26062484001200303,3.04,-2.69
1975-03-30,4.28,0.5172114323359969,2.58,-0.47
1975-03-31,0.0,0.0,1.94,-8.13
1975-04-01,0.0,0.0,1.45,-8.5
1975-04-02,2.22,0.017550888178068113,1.31,-4.85
1975-04-03,18.48,0.1122758857665866,1.22,-4.05
1975-04-04,10.93,0.32256182098475633,0.97,-2.3
1975-04-05,11.96,0.2844039544863962,0.97,-2.64
1975-04-06,5.45,0.54211972869302,0.93,-0.55
1975-04-07,0.73,0.41742895125052454,0.85,-1.6
1975-04-08,0.0,0.033337191178021176,0.78,-4.73
1975-04-09,0.2,0.0,0.73,-5.51
1975-04-10,0.0,0.11181966583415467,0.76,-4.11
1975-04-11,0.0,0.4062482702018011,0.74,-1.8
1975-04-12,0.0,0.28257944096060844,0.84,-2.79
1975-04-13,0.0,0.5241868649780715,0.94,-0.94
1975-04-14,0.0,0.6708289222585158,0.91,0.15
1975-04-15,0.0,1.0715135014840396,1.26,3.14
1975-04-16,0.0,1.4347295282294257,2.42,5.79
1975-04-17,0.0,1.3723905754047598,4.11,5.25
1975-04-18,6.13,1.5665345262608121,6.77,6.6
1975-04-19,3.43,2.1258223048536586,15.1,10.57
1975-04-20,2.97,0.877847807889211,28.57,1.44
1975-04-21,0.04,0.14885822543625699,13.81,-3.91
1975-04-22,0.0,0.6304269028941261,6.9,-0.43
1975-04-23,2.3,1.541142150359668,6.13,6.03
1975-04-24,1.15,1.3057965029140652,8.89,4.3
1975-04-25,0.1,1.228706689068478,9.75,3.7
1975-04-26,9.98,1.159113137733147,7.79,3.16
1975-04-27,3.45,0.7798171363711336,6.3,0.47
1975-04-28,0.3,0.7268919699545262,4.91,0.07
1975-04-29,0.0,1.2123608859241584,3.98,3.38
1975-04-30,0.0,1.4779629514312664,4.81,5.14
1975-05-01,0.0,2.249278413432474,7.46,10.27
1975-05-02,8.51,2.1236470083909484,11.47,9.35
1975-05-03,0.19,2.1035227597007253,11.94,9.14
1975-05-04,0.0,2.041981532818203,10.93,8.66
1975-05-05,0.0,1.9461056581321705,9.48,7.96
1975-05-06,0.0,1.8414714591129189,8.09,7.21
1975-05-07,2.72,1.6545784982990224,7.42,5.93
1975-05-08,0.0,1.9828846313580222,5.74,8.01
1975-05-09,0.0,2.312217048183162,5.1,10.07
1975-05-10,0.0,2.5451689701584703,4.78,11.49
1975-05-11,0.0,2.8974290044131146,4.51,13.65
1975-05-12,3.59,2.8941947462823663,4.18,13.55
1975-05-13,0.0,3.2692607071852384,4.18,15.82
1975-05-14,0.0,2.907296424594637,3.75,13.48
1975-05-15,5.09,3.1765643260961522,3.09,15.08
1975-05-16,5.06,2.878751707785938,3.31,13.16
1975-05-17,0.0,2.4456475860942253,3.98,10.41
1975-05-18,0.0,3.4577927244284132,2.74,16.58
1975-05-19,0.12,3.8006572103761624,2.22,18.59
1975-05-20,0.03,4.229769407121612,1.87,21.1
1975-05-21,0.02,4.153933891100673,1.63,20.56
1975-05-22,3.25,3.857183964345743,1.32,18.7
1975-05-23,0.0,4.600292585836897,1.16,23.06
1975-05-24,0.0,3.46649401782211,0.95,16.22
1975-05-25,0.44,3.154506864547449,0.72,14.29
1975-05-26,23.46,2.7367946176577305,0.61,11.73
1975-05-27,24.26,3.1952311828901734,2.54,14.43
1975-05-28,2.65,3.1077759989720164,10.74,13.86
1975-05-29,0.0,2.9726055551705444,5.1,13.01
1975-05-30,5.62,2.964462900836311,2.83,12.92
1975-05-31,5.8,3.7724115749453238,2.19,17.65
1975-06-01,2.18,3.9255640373309006,1.9,18.5
1975-06-02,0.0,3.2532112380213833,1.71,14.51
1975-06-03,1.05,2.8265620188427154,1.26,11.96
1975-06-04,2.25,2.5944926896668727,1.0,10.56
1975-06-05,12.94,2.766912596445661,1.29,11.55
1975-06-06,8.95,2.2287068023327428,2.35,8.35
1975-06-07,4.49,2.1169972845583627,3.98,7.67
1975-06-08,0.57,2.138588874534257,3.31,7.78
1975-06-09,0.0,2.2856269478333626,2.51,8.63
1975-06-10,0.0,3.0929757277998946,1.71,13.34
1975-06-11,0.0,3.7221012459413343,1.14,16.97
1975-06-12,13.28,3.168179934129576,0.8,13.74
1975-06-13,0.47,3.5368505982567813,1.3,15.86
1975-06-14,0.09,3.978528770470417,1.86,18.39
1975-06-15,0.02,4.035157621776146,1.14,18.7
1975-06-16,10.85,3.910336356702901,0.8,17.97
1975-06-17,0.0,4.16839061345705,1.63,19.44
1975-06-18,0.15,4.250249181804662,1.1,19.9
1975-06-19,7.67,4.0034188978929794,0.78,18.48
1975-06-20,0.0,3.433869827530427,0.81,15.2
1975-06-21,0.0,3.444435400159934,0.67,15.26
1975-06-22,0.04,4.031909406134337,0.51,18.64
1975-06-23,0.0,4.948001831126841,0.41,23.87
1975-06-24,0.0,4.9502359678278305,0.34,23.89
1975-06-25,0.0,3.6287715707656867,0.27,16.34
1975-06-26,0.0,3.646160173827748,0.24,16.45
1975-06-27,0.0,4.198869198258294,0.22,19.64
1975-06-28,0.0,4.192559806876413,0.21,19.62
1975-06-29,0.0,4.283419864710807,0.2,20.16
1975-06-30,0.0,3.9128064235176634,0.19,18.05
1975-07-01,0.0,3.8985664917978564,0.17,17.99
1975-07-02,12.8,4.123163283066877,0.16,19.31
1975-07-03,2.75,4.22928850679861,0.23,19.95
1975-07-04,2.24,3.746633734506812,0.35,17.19
1975-07-05,0.0,4.025986509175962,0.26,18.84
1975-07-06,0.0,4.104513387442897,0.2,19.33
1975-07-07,3.08,4.460652859089957,0.19,21.43
1975-07-08,4.51,4.370151627957185,0.21,20.95
1975-07-09,11.55,4.164314892625363,0.26,19.8
1975-07-10,2.37,4.038025655002923,0.43,19.11
1975-07-11,4.5,3.9409917658070683,0.4,18.59
1975-07-12,0.16,3.888312294874221,0.29,18.33
1975-07-13,5.22,3.8235634840972303,0.26,18.0
1975-07-14,29.75,4.319554273992294,0.23,20.97
1975-07-15,4.61,3.8290278184660207,0.91,18.14
1975-07-16,0.0,4.108277639446006,2.41,19.85
1975-07-17,0.02,4.537448831233199,0.7,22.45
1975-07-18,0.0,4.76046549225487,0.37,23.84
1975-07-19,3.9,4.549134205849691,0.27,22.67
1975-07-20,31.69,4.56930126831192,0.25,22.87
